Legajo,Apellido,Nombres,NumeroDocumento,Email,Telefono
001,De Palma,Giuliana,46965509,GiulianaDePalma@gmail.com,3412586641
002,De Palma,Guadalupe,40123456,GuadalupeDePalma@gmail.com,34111111111
003,Perez,Lucas,40123458,Lucas.Perez@gmail.com,3411111113
004,Perez,Sofia,40123459,Sofia.Perez@gmail.com,3411111114
005,Lopez,Martin,40123460,martin.lopez@gmail.com,3411111115
006,Lopez,Laura,40123461,Laura.Lopez@gmail.com,3411111116
007,Fernandez,Diego,40123462,diego.fernandez@gmail.com,3411111117
008,Fernandez,Clara,40123463,carla.fernandez@gmail.com,3411111118
009,Ruiz,Pablo,40123464,pablo.ruiz@gmail.com,3411111119
010,Ruiz,Maria Laura,40123465,MariaLaura.Ruiz@gmail.com,3411111120
